iter	Passed	Remaining
0	158	158818
1	161	80495
2	163	54413
3	164	41082
4	166	33220
5	168	27886
6	169	24071
7	171	21222
8	173	19134
9	176	17469
10	177	15994
11	179	14762
12	180	13700
13	181	12796
14	182	12016
15	184	11333
16	185	10741
17	187	10224
18	189	9780
19	190	9355
20	192	8966
21	193	8614
22	195	8315
23	197	8028
24	198	7752
25	200	7503
26	202	7288
27	204	7082
28	205	6880
29	207	6699
30	209	6547
31	211	6384
32	213	6245
33	214	6100
34	216	5982
35	219	5871
36	221	5777
37	223	5658
38	225	5544
39	226	5445
40	229	5364
41	233	5315
42	235	5244
43	237	5154
44	238	5070
45	240	4987
46	241	4903
47	243	4824
48	246	4780
49	248	4712
50	249	4639
51	251	4584
52	253	4532
53	255	4471
54	257	4418
55	260	4391
56	262	4339
57	263	4283
58	265	4229
59	266	4177
60	268	4133
61	270	4085
62	272	4052
63	274	4008
64	275	3968
65	277	3928
66	279	3889
67	280	3848
68	282	3811
69	284	3779
70	286	3746
71	288	3724
72	290	3692
73	292	3656
74	293	3622
75	295	3587
76	296	3558
77	298	3528
78	300	3498
79	303	3489
80	305	3465
81	306	3436
82	307	3400
83	310	3381
84	311	3354
85	312	3326
86	314	3298
87	316	3275
88	319	3266
89	320	3245
90	322	3223
91	324	3199
92	325	3175
93	326	3150
94	328	3127
95	329	3105
96	331	3088
97	333	3071
98	335	3051
99	336	3032
100	338	3012
101	340	2993
102	341	2974
103	342	2954
104	344	2936
105	346	2923
106	348	2909
107	351	2903
108	353	2886
109	354	2867
110	355	2849
111	357	2832
112	358	2815
113	361	2812
114	364	2806
115	366	2790
116	367	2773
117	369	2759
118	370	2745
119	372	2731
120	373	2716
121	376	2712
122	380	2713
123	382	2700
124	383	2686
125	385	2672
126	386	2657
127	387	2642
128	389	2629
129	391	2622
130	393	2610
131	395	2598
132	396	2585
133	398	2573
134	399	2561
135	401	2549
136	403	2541
137	407	2544
138	409	2534
139	410	2522
140	412	2510
141	412	2495
142	414	2482
143	415	2469
144	416	2457
145	418	2446
146	421	2443
147	423	2437
148	425	2429
149	426	2418
150	428	2407
151	429	2398
152	431	2388
153	432	2378
154	434	2369
155	441	2387
156	442	2378
157	444	2368
158	445	2359
159	447	2350
160	449	2341
161	451	2334
162	452	2324
163	454	2315
164	455	2306
165	457	2297
166	458	2288
167	460	2280
168	462	2272
169	464	2265
170	466	2260
171	470	2266
172	472	2259
173	474	2252
174	476	2245
175	477	2236
176	479	2230
177	482	2226
178	484	2221
179	487	2219
180	488	2212
181	490	2204
182	492	2196
183	493	2189
184	497	2189
185	498	2183
186	500	2174
187	501	2167
188	503	2160
189	505	2155
190	506	2147
191	508	2141
192	510	2135
193	512	2130
194	514	2122
195	515	2115
196	517	2108
197	519	2103
198	522	2103
199	526	2104
200	528	2099
201	529	2092
202	531	2087
203	533	2081
204	535	2076
205	536	2069
206	538	2062
207	540	2057
208	541	2050
209	544	2048
210	546	2042
211	547	2036
212	549	2029
213	550	2023
214	554	2024
215	556	2020
216	558	2014
217	559	2007
218	561	2000
219	562	1995
220	564	1989
221	566	1984
222	569	1983
223	571	1979
224	572	1973
225	574	1969
226	576	1963
227	578	1957
228	579	1951
229	581	1945
230	584	1945
